COMPETITION_WYID,SEASON_WYID,PLAYER_WYID,SHORTNAME,FIRSTNAME,MIDDLENAME,LASTNAME,HEIGHT,WEIGHT,BIRTHDATE,BIRTHAREA_WYID,PASSPORTAREA_WYID,ROLENAME,ROLECODE2,ROLECODE3,FOOT,CURRENTTEAM_WYID,CURRENTNATIONALTEAM_WYID,GENDER,STATUS,IMAGEDATAURL
335,187483,500251,J. Ægidius,Jonathan,,Risbjerg Ægidius,190,71,2002-04-22,208,208,Goalkeeper,GK,GKP,right,7622,,male,active,https://cdn5.wyscout.com/photos/players/public/g-54076_100x130.png
335,187483,499765,F. Carstensen,Frederik,,Carstensen,179,66,2002-04-09,208,208,Forward,FW,FWD,right,7136,,male,active,https://cdn5.wyscout.com/photos/players/public/g-53977_100x130.png
335,187483,498845,M. Daramy,Mohammed,,Daramy,180,71,2002-01-07,208,694,Forward,FW,FWD,right,3802,,male,active,https://cdn5.wyscout.com/photos/players/public/g-53625_100x130.png
335,187483,494548,S. Jørgensen,Sebastian,,Vinther Jørgensen,178,68,2000-06-08,208,208,Midfielder,MD,MID,left,6709,,male,active,https://cdn5.wyscout.com/photos/players/public/g-52618_100x130.png
335,187483,489307,M. da Silva Liberato Silveira,Marrony,,da Silva Liberato Silveira,181,75,1999-02-05,76,76,Forward,FW,FWD,left,7455,,male,active,https://cdn5.wyscout.com/photos/players/public/g-51320_100x130.png
335,187483,471107,A. Şimşir,Doguhan Aral,,Şimşir,177,71,2002-06-19,208,792,Forward,FW,FWD,right,7455,4693,male,active,https://cdn5.wyscout.com/photos/players/public/g-46721_100x130.png
335,187483,454213,T. Bech,Tobias,,Bech Kristensen,189,77,2002-02-19,208,208,Forward,FW,FWD,left,7457,7719,male,active,https://cdn5.wyscout.com/photos/players/public/g-46152_100x130.png
335,187483,453315,A. Grønbæk,Albert,,Grønbæk Erlykke,176,73,2001-05-23,208,208,Midfielder,MD,MID,right,3774,7712,male,active,https://cdn5.wyscout.com/photos/players/public/g-45939_100x130.png
335,187483,452592,O. Sørensen,Oliver,,Sørensen Jensen,180,78,2002-03-10,208,208,Midfielder,MD,MID,left,7455,7719,male,active,https://cdn5.wyscout.com/photos/players/public/g-45771_100x130.png
335,187483,450799,P. Mattsson,Pelle,,Mattsson,181,74,2001-08-04,208,752,Midfielder,MD,MID,right,7461,,male,active,https://cdn5.wyscout.com/photos/players/public/g-45625_100x130.png
335,187483,444298,J. Bonde,Jakob,,Bonde Jensen,186,75,1993-12-29,208,208,Midfielder,MD,MID,left,7460,,male,active,https://cdn5.wyscout.com/photos/players/public/g450366_100x130.png
335,187483,446138,Charles,Charles,,Rigon Matos,187,81,1996-06-19,76,76,Midfielder,MD,MID,right,5656,,male,active,https://cdn5.wyscout.com/photos/players/public/g452042_100x130.png
335,187483,446504,V. Nelsson,Victor,,Nelsson,185,78,1998-10-14,208,208,Defender,DF,DEF,right,4492,7712,male,active,https://cdn5.wyscout.com/photos/players/public/g452435_100x130.png
335,187483,447397,J. Opoku,Jerome,,Opoku,197,79,1998-10-14,826,288,Defender,DF,DEF,left,4535,17522,male,active,https://cdn5.wyscout.com/photos/players/public/g453294_100x130.png
335,187483,447696,Dudu,Eduardo,,dos Santos Haesler,196,89,1999-02-10,276,76,Goalkeeper,GK,GKP,right,3083,,male,active,https://cdn5.wyscout.com/photos/players/public/g453594_100x130.png
335,187483,471101,J. Kabongo,Joël Zakarias,,Kabongo,194,85,1998-04-05,208,894,Defender,DF,DEF,left,,,male,retired,https://cdn5.wyscout.com/photos/players/public/ndplayer_100x130.png
335,187483,475104,N. Madsen,Nicolas Martin,,Hautorp Madsen,192,81,2000-03-17,208,208,Midfielder,MD,MID,right,1650,,male,active,https://cdn5.wyscout.com/photos/players/public/g462667_100x130.png
335,187483,475110,G. Isaksen,Gustav,,Tang Isaksen,181,65,2001-04-19,208,208,Forward,FW,FWD,left,3162,7712,male,active,https://cdn5.wyscout.com/photos/players/public/g462673_100x130.png
335,187483,475116,N. Dyhr,Nikolas,,Langberg Dyhr,179,66,2001-06-18,208,208,Defender,DF,DEF,left,7462,,male,active,https://cdn5.wyscout.com/photos/players/public/g462679_100x130.png
335,187483,475944,M. Soulas,Maxime,,Soulas,185,76,1999-05-19,250,250,Defender,DF,DEF,right,7499,,male,active,https://cdn5.wyscout.com/photos/players/public/g463312_100x130.png
335,187483,476093,E. Ólafsson,Elías Rafn,,Ólafsson,201,85,2000-03-11,352,352,Goalkeeper,GK,GKP,right,7455,7839,male,active,https://cdn5.wyscout.com/photos/players/public/g463461_100x130.png
335,187483,476177,A. Baldursson,Andri Fannar,,Baldursson,187,79,2002-01-10,352,352,Midfielder,MD,MID,right,6721,7845,male,active,https://cdn5.wyscout.com/photos/players/public/g463550_100x130.png
335,187483,476345,M. Hermansen,Mads,,Hermansen,187,81,2000-07-11,208,208,Goalkeeper,GK,GKP,right,1631,7712,male,active,https://cdn5.wyscout.com/photos/players/public/g463682_100x130.png
335,187483,476346,H. Bernat,Hans Christian,,Bernat,192,88,2000-11-13,208,616,Goalkeeper,GK,GKP,right,9381,,male,active,https://cdn5.wyscout.com/photos/players/public/g463683_100x130.png
335,187483,476349,S. Hausner,Sebastian,,Lund Hausner,188,79,2000-04-11,208,208,Defender,DF,DEF,right,7465,,male,active,https://cdn5.wyscout.com/photos/players/public/g463686_100x130.png
335,187483,476350,A. Skipper,Anton,,Skipper Hendriksen,194,77,2000-03-31,208,208,Defender,DF,DEF,right,7451,,male,active,https://cdn5.wyscout.com/photos/players/public/g463687_100x130.png
335,187483,479138,D. Emmanouilidis,Dimitrios,,Emmanouilidis,175,71,2000-10-24,300,300,Forward,FW,FWD,right,7473,,male,active,https://cdn5.wyscout.com/photos/players/public/g465828_100x130.png
335,187483,479214,M. Bundu,Mustapha,,Bundu,188,77,1997-02-28,694,694,Midfielder,MD,MID,right,1649,19447,male,active,https://cdn5.wyscout.com/photos/players/public/g465910_100x130.png
335,187483,479831,J. Cajuste,Jens-Lys Michel,,Cajuste,188,77,1999-08-10,752,840,Midfielder,MD,MID,right,1634,7047,male,active,https://cdn5.wyscout.com/photos/players/public/g466396_100x130.png
335,187483,481900,T. Børkeeiet,Tobias,,Borchgrevink Børkeeiet,189,81,1999-04-18,578,578,Midfielder,MD,MID,right,8738,,male,active,https://cdn5.wyscout.com/photos/players/public/g468045_100x130.png
335,187483,56531,P. Kanstrup,Pierre,,Kanstrup,188,81,1989-02-21,208,208,Defender,DF,DEF,right,,,male,active,https://cdn5.wyscout.com/photos/players/public/17607_100x130.png
335,187483,7873,J. Wilshere,Jack,,Wilshere,172,68,1992-01-01,826,826,Midfielder,MD,MID,left,,,male,retired,https://cdn5.wyscout.com/photos/players/public/19139_100x130.png
335,187483,56456,A. Juel Andersen,Alexander,,Juel Andersen,190,84,1991-01-29,208,208,Defender,DF,DEF,right,,,male,active,https://cdn5.wyscout.com/photos/players/public/54183_100x130.png
335,187483,55955,K. Hansen,Kian,,Hansen,184,74,1989-03-03,208,208,Defender,DF,DEF,right,7458,,male,active,https://cdn5.wyscout.com/photos/players/public/35472_100x130.png
335,187483,50800,M. Albornoz,Miiko Martín,,Albornoz Inola,180,80,1990-11-30,752,152,Defender,DF,DEF,left,7473,,male,active,https://cdn5.wyscout.com/photos/players/public/34912_100x130.png
335,187483,54474,R. Gabrielsen,Lunan Ruben,,Gabrielsen,187,87,1992-03-10,578,578,Defender,DF,DEF,right,7096,,male,active,https://cdn5.wyscout.com/photos/players/public/40168_100x130.png
335,187483,56643,E. Marxen,Erik,,Marxen,185,80,1990-12-02,208,208,Defender,DF,DEF,left,7458,,male,active,https://cdn5.wyscout.com/photos/players/public/52799_100x130.png
335,187483,56079,K. Mensah,Kevin,,Mensah,173,72,1991-05-15,208,288,Defender,DF,DEF,right,7453,,male,active,https://cdn5.wyscout.com/photos/players/public/54186_100x130.png
335,187483,56048,E. Sviatchenko,Erik,,Sviatchenko,185,82,1991-10-04,208,804,Defender,DF,DEF,right,7944,,male,active,https://cdn5.wyscout.com/photos/players/public/35475_100x130.png
335,187483,56394,H. Dalsgaard,Henrik,,Dalsgaard,192,81,1989-07-27,208,208,Defender,DF,DEF,right,7457,,male,active,https://cdn5.wyscout.com/photos/players/public/35466_100x130.png
335,187483,50771,K. Johnsson,Karl-Johan,,Johnsson,188,84,1990-01-28,752,752,Goalkeeper,GK,GKP,right,3779,,male,active,https://cdn5.wyscout.com/photos/players/public/g78882_100x130.png
335,187483,50868,J. Skjelvik,Jørgen,,Skjelvik,184,77,1991-07-05,578,578,Defender,DF,DEF,left,7097,,male,active,https://cdn5.wyscout.com/photos/players/public/40167_100x130.png
335,187483,120911,I. Jebali,Issam,,Jebali,186,84,1991-12-25,788,788,Forward,FW,FWD,right,12803,,male,active,https://cdn5.wyscout.com/photos/players/public/44804_100x130.png
335,187483,15080,N. Jørgensen,Nicolai,,Jørgensen,190,85,1991-01-15,208,208,Forward,FW,FWD,right,,,male,active,https://cdn5.wyscout.com/photos/players/public/52781_100x130.png
335,187483,56273,P. Mortensen,Patrick,,Mortensen,188,78,1989-07-13,208,208,Forward,FW,FWD,right,7457,,male,active,https://cdn5.wyscout.com/photos/players/public/17626_100x130.png
335,187483,56223,T. Mikkelsen,Thomas,,Korsgaard Mikkelsen,190,83,1983-08-27,208,208,Goalkeeper,GK,GKP,right,7453,,male,active,https://cdn5.wyscout.com/photos/players/public/52803_100x130.png
335,187483,56142,J. Schoop,Jacob,,Schoop,176,70,1988-12-23,208,208,Midfielder,MD,MID,left,7475,,male,active,https://cdn5.wyscout.com/photos/players/public/58562_100x130.png
335,187483,56334,J. Grønning,Jeppe,,Grønning,182,67,1991-05-24,208,208,Midfielder,MD,MID,right,7456,,male,active,https://cdn5.wyscout.com/photos/players/public/58560_100x130.png
335,187483,3710,K. Babacar,Khouma,,El Hadji Babacar,185,85,1993-03-17,686,380,Forward,FW,FWD,right,4558,,male,active,https://cdn5.wyscout.com/photos/players/public/37946_100x130.png
335,187483,56383,J. Ahlmann,Jakob,,Ahlmann,179,70,1991-01-18,208,208,Defender,DF,DEF,left,,,male,active,https://cdn5.wyscout.com/photos/players/public/46187_100x130.png
335,188039,562660,W. Bøving,William ,,Bøving Wick,176,67,2003-03-01,208,208,Forward,FW,FWD,right,8742,7719,male,active,https://cdn5.wyscout.com/photos/players/public/g-77234_100x130.png
335,188039,562633,N. Vallys,Nicolai,,Vallys,189,82,1996-09-04,208,208,Midfielder,MD,MID,right,7453,,male,active,https://cdn5.wyscout.com/photos/players/public/g-77207_100x130.png
335,188039,562503,L. Prip,Louka Daniel,,Prip Andreasen,182,72,1997-06-29,208,208,Midfielder,MD,MID,left,4498,,male,active,https://cdn5.wyscout.com/photos/players/public/g-77077_100x130.png
335,188039,562226,M. Hannesbo,Malthe Marcus,,Hannesbo,185,76,2002-05-11,208,208,Midfielder,MD,MID,left,7488,,male,active,https://cdn5.wyscout.com/photos/players/public/g-76802_100x130.png
335,188039,562225,A. Gülstorff,Andreas,,Gülstorff Pedersen,185,75,2003-01-26,208,208,Goalkeeper,GK,GKP,left,7106,,male,active,https://cdn5.wyscout.com/photos/players/public/g-76801_100x130.png
335,188039,559154,K. Yakob,Kevin Enkido,,Yakob,184,77,2000-10-10,752,368,Midfielder,MD,MID,right,7457,,male,active,https://cdn5.wyscout.com/photos/players/public/g-73737_100x130.png
335,188039,557521,M. Kristensen,Mathias,,Kristensen,201,98,1993-06-24,208,208,Forward,FW,FWD,right,,,male,active,https://cdn5.wyscout.com/photos/players/public/g-72106_100x130.png
335,188039,556015,M. Juwara,Musa,,Juwara,170,65,2001-12-26,270,270,Forward,FW,FWD,left,7473,18728,male,active,https://cdn5.wyscout.com/photos/players/public/g-70602_100x130.png
335,188039,552464,G. Grubbe,Gustav,,Grubbe Madsen,179,74,2003-01-27,208,208,Defender,DF,DEF,right,7460,,male,active,https://cdn5.wyscout.com/photos/players/public/g-67088_100x130.png
335,188039,551993,C. Winther,Casper,,Kaarsbo Winther,177,67,2003-02-11,208,208,Midfielder,MD,MID,right,7484,7714,male,active,https://cdn5.wyscout.com/photos/players/public/g-66617_100x130.png
335,188039,543966,W. Faghir,Wahid,,Faghir,186,83,2003-07-29,208,4,Forward,FW,FWD,right,2445,,male,active,https://cdn5.wyscout.com/photos/players/public/g-63458_100x130.png
335,188039,528964,J. Žambůrek,Jan,,Žambůrek,182,70,2001-02-13,203,203,Midfielder,MD,MID,left,30,,male,active,https://cdn5.wyscout.com/photos/players/public/g-61061_100x130.png
335,188039,525650,J. Jensen-Abbew,Jonas,,Jensen-Abbew,187,80,2002-04-20,208,288,Defender,DF,DEF,right,7457,7719,male,active,https://cdn5.wyscout.com/photos/players/public/g-60498_100x130.png
335,188039,525614,O. Jensen,Oliver,,Bjerrum Jensen,0,0,2002-04-30,208,208,Forward,FW,FWD,right,7741,,male,active,https://cdn5.wyscout.com/photos/players/public/g-60480_100x130.png
335,188039,524508,M. Hansen,Mads Kristian,,Hansen,188,79,2002-07-28,208,208,Forward,FW,FWD,left,7458,7719,male,active,https://cdn5.wyscout.com/photos/players/public/g-60310_100x130.png
335,188039,524504,D. Kruse,David,,Kjær Kruse,185,80,2002-05-15,208,208,Midfielder,MD,MID,right,6712,7719,male,active,https://cdn5.wyscout.com/photos/players/public/g-60306_100x130.png
335,188039,523395,A. Ementa,Anosike Victor,,Ementa,202,84,2002-05-03,208,566,Forward,FW,FWD,right,7456,,male,active,https://cdn5.wyscout.com/photos/players/public/g-60127_100x130.png
335,188039,523123,T. Chukwuani,Tochi Phil,,Chukwuani,187,74,2003-03-24,208,566,Midfielder,MD,MID,right,8742,7719,male,active,https://cdn5.wyscout.com/photos/players/public/g-60030_100x130.png
335,188039,523107,A. Lind,Alexander,,Lind Rasmussen,185,84,2002-06-26,208,208,Forward,FW,FWD,right,3207,,male,active,https://cdn5.wyscout.com/photos/players/public/g-60017_100x130.png
335,188039,523104,N. Holm Pedersen,Niclas,,Holm Pedersen,180,70,2002-03-15,208,208,Midfielder,MD,MID,right,,,male,active,https://cdn5.wyscout.com/photos/players/public/g-60014_100x130.png
335,187483,289668,F. Tingager,Frederik,,Tingager,198,94,1993-02-22,208,208,Defender,DF,DEF,right,7457,,male,active,https://cdn5.wyscout.com/photos/players/public/g323150_100x130.png
335,187483,295575,D. Vinicius,Dominic Vinicius,,Eberechukwu Uzoukwu,194,100,1995-01-05,76,566,Forward,FW,FWD,left,29935,,male,active,https://cdn5.wyscout.com/photos/players/public/g328064_100x130.png
335,187483,296672,Paulinho,Paulo Victor,,da Silva,178,71,1995-01-03,76,76,Defender,DF,DEF,left,7455,,male,active,https://cdn5.wyscout.com/photos/players/public/g329221_100x130.png
335,187483,300647,M. Makarić,Milan,,Makarić,185,78,1995-10-04,688,688,Forward,FW,FWD,right,13273,,male,active,https://cdn5.wyscout.com/photos/players/public/g333812_100x130.png
335,187483,326921,V. Onovo,Vincent,,Onovo,171,74,1995-12-10,566,566,Midfielder,MD,MID,right,10187,,male,active,https://cdn5.wyscout.com/photos/players/public/g337017_100x130.png
335,187483,329973,Dion Cools,Dion-Johan,,Chai Cools,185,77,1996-06-04,458,56,Defender,DF,DEF,right,17767,15397,male,active,https://cdn5.wyscout.com/photos/players/public/g343439_100x130.png
335,187483,330540,M. Kaalund,Mads,,Kaalund Larsen,183,75,1996-08-16,208,208,Midfielder,MD,MID,right,7490,,male,active,https://cdn5.wyscout.com/photos/players/public/g343479_100x130.png
335,187483,331196,F. Børsting,Frederik,,Lindbøg Børsting,178,74,1995-02-13,208,208,Midfielder,MD,MID,right,7488,,male,active,https://cdn5.wyscout.com/photos/players/public/g345341_100x130.png
335,187483,332593,J. Thorsteinsson,Jón Dagur,,Thorsteinsson,177,66,1998-11-26,352,352,Forward,FW,FWD,right,2457,7839,male,active,https://cdn5.wyscout.com/photos/players/public/g347293_100x130.png
335,187483,334043,M. Greve,Mathias Peter,,Greve Petersen,186,77,1995-02-11,208,208,Midfielder,MD,MID,right,7462,,male,active,https://cdn5.wyscout.com/photos/players/public/g349525_100x130.png
335,187483,334056,N. Bürgy,Nicolas,,Bürgy,185,80,1995-08-07,756,756,Defender,DF,DEF,right,7456,,male,active,https://cdn5.wyscout.com/photos/players/public/g350335_100x130.png
335,187483,334827,J. Simonsen,Jeppe,,Friborg Simonsen,184,76,1995-11-21,208,332,Defender,DF,DEF,right,7499,,male,active,https://cdn5.wyscout.com/photos/players/public/g351915_100x130.png
335,187483,335381,K. Diks,Kevin,,Diks,182,73,1996-10-06,528,528,Defender,DF,DEF,right,7452,,male,active,https://cdn5.wyscout.com/photos/players/public/g352759_100x130.png
335,187483,335707,F. Brandhof,Frederik,,Brandhof,182,77,1996-07-05,208,208,Midfielder,MD,MID,right,7457,,male,active,https://cdn5.wyscout.com/photos/players/public/g352877_100x130.png
335,187483,349746,A. Gersbach,Alex,,Gersbach,183,73,1997-05-08,36,300,Defender,DF,DEF,left,6711,,male,active,https://cdn5.wyscout.com/photos/players/public/g367531_100x130.png
335,187483,343949,J. Thompson,Jared,,Thompson,187,74,1999-02-23,826,1014,Goalkeeper,GK,GKP,left,1790,,male,active,https://cdn5.wyscout.com/photos/players/public/g372975_100x130.png
335,187483,345745,Pedro Ferreira,Pedro Miguel,,Dinis Ferreira,183,81,1998-01-05,620,620,Midfielder,MD,MID,right,9634,,male,active,https://cdn5.wyscout.com/photos/players/public/g374835_100x130.png
335,187483,347513,H. Andersson,Hugo,,Andersson,196,86,1999-01-01,752,752,Defender,DF,DEF,right,7462,,male,active,https://cdn5.wyscout.com/photos/players/public/g377451_100x130.png
335,187483,347364,M. Brink,Mark,,Brink Christensen,174,73,1998-03-15,208,208,Midfielder,MD,MID,right,7458,,male,active,https://cdn5.wyscout.com/photos/players/public/g379823_100x130.png
335,187483,347370,N. Røjkjær,Nicklas,,Røjkjær,179,74,1998-07-24,208,208,Midfielder,MD,MID,right,6754,,male,active,https://cdn5.wyscout.com/photos/players/public/g379825_100x130.png
335,188945,56017,D. Stenderup,Daniel,,Stenderup,183,71,1989-05-31,208,208,Defender,DF,DEF,right,7490,,male,active,https://cdn5.wyscout.com/photos/players/public/31090_100x130.png
335,188945,56297,B. Paulsen,Bjørn,,Paulsen,191,85,1991-07-02,208,208,Defender,DF,DEF,right,7460,,male,active,https://cdn5.wyscout.com/photos/players/public/52644_100x130.png
335,188945,56635,A. Bušuladžić,Azer,,Bušuladžić,187,77,1991-11-12,208,70,Midfielder,MD,MID,right,,,male,active,https://cdn5.wyscout.com/photos/players/public/52797_100x130.png
335,188945,56625,P. Ankersen,Peter,,Ankersen,180,73,1990-09-22,208,208,Defender,DF,DEF,right,7458,,male,active,https://cdn5.wyscout.com/photos/players/public/52266_100x130.png
335,188945,56145,R. Falk,Rasmus,,Falk Jensen,177,65,1992-01-15,208,208,Midfielder,MD,MID,right,7452,,male,active,https://cdn5.wyscout.com/photos/players/public/53330_100x130.png
335,188945,56390,K. Kusk,Kasper,,Kusk Vangsgaard,180,67,1991-11-10,208,208,Midfielder,MD,MID,left,7488,,male,active,https://cdn5.wyscout.com/photos/players/public/54944_100x130.png
335,188945,56378,N. Larsen,Nicolai,,Larsen,187,83,1991-03-09,208,208,Goalkeeper,GK,GKP,right,7461,,male,active,https://cdn5.wyscout.com/photos/players/public/54941_100x130.png
335,188945,56138,B. Kadrii,Bashkim,,Kadrii,177,74,1991-07-09,208,807,Forward,FW,FWD,left,,,male,active,https://cdn5.wyscout.com/photos/players/public/55270_100x130.png
335,188945,42,N. Boilesen,Nicolai,,Møller Boilesen,186,75,1992-02-16,208,208,Defender,DF,DEF,left,7452,,male,active,https://cdn5.wyscout.com/photos/players/public/67498_100x130.png
335,188945,190470,N. Poulsen,Nicolai,,Poulsen,176,79,1993-08-15,208,208,Midfielder,MD,MID,right,7457,,male,active,https://cdn5.wyscout.com/photos/players/public/g135067_100x130.png
335,188945,57347,S. Ingason,Sverrir Ingi,,Ingason,188,84,1993-08-05,352,352,Defender,DF,DEF,right,12508,7839,male,active,https://cdn5.wyscout.com/photos/players/public/g135095_100x130.png
335,188945,56020,M. Gehrt,Mathias,,Krathmann Gehrt,174,75,1992-06-07,208,208,Midfielder,MD,MID,right,7490,,male,active,https://cdn5.wyscout.com/photos/players/public/66167_100x130.png
335,188945,56094,J. Storch,Jannich,,Storch,189,79,1993-05-12,208,208,Goalkeeper,GK,GKP,right,7484,,male,active,https://cdn5.wyscout.com/photos/players/public/74947_100x130.png
335,188945,118386,D. Khocholava,Davit,,Khocholava,192,88,1993-02-08,268,268,Defender,DF,DEF,right,,,male,active,https://cdn5.wyscout.com/photos/players/public/49594_100x130.png
335,188945,54485,O. Omoijuanfo,Ohikhuaeme Anthony,,Omoijuanfo,188,75,1994-01-10,578,578,Forward,FW,FWD,right,7453,,male,active,https://cdn5.wyscout.com/photos/players/public/73870_100x130.png
335,188945,69374,J. Radošević,Josip,,Radošević,180,74,1994-04-03,191,191,Midfielder,MD,MID,right,7453,,male,active,https://cdn5.wyscout.com/photos/players/public/76948_100x130.png
335,188945,135789,D. Kolinger,Denis,,Kolinger,199,92,1994-01-14,191,191,Defender,DF,DEF,right,9514,,male,active,https://cdn5.wyscout.com/photos/players/public/82872_100x130.png
335,188945,51144,V. Claesson,Viktor,,Claesson,183,80,1992-01-02,752,752,Midfielder,MD,MID,right,7452,,male,active,https://cdn5.wyscout.com/photos/players/public/70128_100x130.png
335,188945,56143,C. Sørensen,Christian Nikolaj ,,Sørensen,179,74,1992-08-06,208,208,Defender,DF,DEF,left,7455,,male,active,https://cdn5.wyscout.com/photos/players/public/71411_100x130.png
335,188945,14702,T. Trybull,Tom,,Trybull,181,72,1993-03-09,276,276,Midfielder,MD,MID,right,7460,,male,active,https://cdn5.wyscout.com/photos/players/public/68300_100x130.png
335,188945,569600,O. Provstgaard,Oliver,,Provstgaard Nielsen,194,73,2003-06-04,208,208,Defender,DF,DEF,left,7473,7719,male,active,https://cdn5.wyscout.com/photos/players/public/g-84169_100x130.png
335,188945,569151,L. Kjerrumgaard,Luca,,Kjerrumgaard,190,77,2003-02-09,208,208,Forward,FW,FWD,left,7460,,male,active,https://cdn5.wyscout.com/photos/players/public/g-83720_100x130.png
335,188945,568962,I. Osman,Ibrahim,,Osman,177,68,2004-11-29,288,288,Forward,FW,FWD,right,12,17522,male,active,https://cdn5.wyscout.com/photos/players/public/ndplayer_100x130.png
335,188945,565163,P. Rödin,Pontus,,Rödin,189,80,2000-08-16,752,752,Defender,DF,DEF,right,7461,,male,active,https://cdn5.wyscout.com/photos/players/public/g-79736_100x130.png
335,188945,564012,M. Ndione,Marokhy,,Ndione,192,88,1999-11-04,752,686,Forward,FW,FWD,right,63033,,male,active,https://cdn5.wyscout.com/photos/players/public/g-78586_100x130.png
335,188945,563514,M. Nielsen,Marc,,Nielsen,0,0,2001-05-16,208,208,Defender,DF,DEF,left,7454,,male,active,https://cdn5.wyscout.com/photos/players/public/g-78088_100x130.png
335,188945,563154,M. Karamoko,Mamoudou,,Karamoko,188,81,1999-06-08,250,384,Forward,FW,FWD,right,10187,,male,active,https://cdn5.wyscout.com/photos/players/public/g-77728_100x130.png
335,188945,562692,A. Smed,Andreas,,Smed,182,73,1997-03-19,208,208,Forward,FW,FWD,right,7490,,male,active,https://cdn5.wyscout.com/photos/players/public/g-77266_100x130.png
335,188945,562633,N. Vallys,Nicolai,,Vallys,189,82,1996-09-04,208,208,Midfielder,MD,MID,right,7453,,male,active,https://cdn5.wyscout.com/photos/players/public/g-77207_100x130.png
335,188945,562564,K. Kirkegaard,Kristian,,Kirkegaard,174,63,1997-10-02,208,208,Midfielder,MD,MID,right,7473,,male,active,https://cdn5.wyscout.com/photos/players/public/g-77138_100x130.png
335,188945,562500,M. Fredslund,Magnus,,Fredslund,0,0,1992-07-26,208,208,Defender,DF,DEF,right,7490,,male,active,https://cdn5.wyscout.com/photos/players/public/g-77074_100x130.png
335,188945,562225,A. Gülstorff,Andreas,,Gülstorff Pedersen,185,75,2003-01-26,208,208,Goalkeeper,GK,GKP,left,7106,,male,active,https://cdn5.wyscout.com/photos/players/public/g-76801_100x130.png
335,188945,561757,L. Lissens,Lucas,,Lissens,184,74,2001-07-25,56,56,Defender,DF,DEF,right,7484,,male,active,https://cdn5.wyscout.com/photos/players/public/g-76335_100x130.png
335,188945,561035,C. Rasmussen,Christian Theodor,,Kjelder Rasmussen,184,77,2003-01-19,208,208,Forward,FW,FWD,left,9,7719,male,active,https://cdn5.wyscout.com/photos/players/public/g-75616_100x130.png
335,188945,556015,M. Juwara,Musa,,Juwara,170,65,2001-12-26,270,270,Forward,FW,FWD,left,7473,18728,male,active,https://cdn5.wyscout.com/photos/players/public/g-70602_100x130.png
335,188945,552464,G. Grubbe,Gustav,,Grubbe Madsen,179,74,2003-01-27,208,208,Defender,DF,DEF,right,7460,,male,active,https://cdn5.wyscout.com/photos/players/public/g-67088_100x130.png
335,188945,551993,C. Winther,Casper,,Kaarsbo Winther,177,67,2003-02-11,208,208,Midfielder,MD,MID,right,7484,7714,male,active,https://cdn5.wyscout.com/photos/players/public/g-66617_100x130.png
335,188945,549469,A. Bredahl,Andreas,,Bredahl Pedersen,182,0,2003-03-13,208,208,Forward,FW,FWD,right,7470,,male,active,https://cdn5.wyscout.com/photos/players/public/g-65194_100x130.png
